date,country,season
2019-04-20,GBR,Spring
2019-04-20,CAN,Spring
2019-04-20,AUS,Fall
2019-04-20,BRA,Fall
2019-04-20,ZAF,Fall
2019-04-21,USA,Spring
2019-04-21,DEU,Spring
2019-04-21,FRA,Spring
2019-04-21,KOR,Spring
2019-04-21,JPN,Spring
2019-04-21,GBR,Spring
2019-04-21,CAN,Spring
2019-04-21,AUS,Fall
2019-04-21,BRA,Fall
2019-04-21,ZAF,Fall
2019-04-22,USA,Spring
2019-04-22,DEU,Spring
2019-04-22,FRA,Spring
2019-04-22,KOR,Spring
2019-04-22,JPN,Spring
2019-04-22,GBR,Spring
2019-04-22,CAN,Spring
2019-04-22,AUS,Fall
2019-04-22,BRA,Fall
2019-04-22,ZAF,Fall
2019-04-23,USA,Spring
2019-04-23,DEU,Spring
2019-04-23,FRA,Spring
2019-04-23,KOR,Spring
2019-04-23,JPN,Spring
2019-04-23,GBR,Spring
2019-04-23,CAN,Spring
2019-04-23,AUS,Fall
2019-04-23,BRA,Fall
2019-04-23,ZAF,Fall
2019-04-24,USA,Spring
2019-04-24,DEU,Spring
2019-04-24,FRA,Spring
2019-04-24,KOR,Spring
2019-04-24,JPN,Spring
2019-04-24,GBR,Spring
2019-04-24,CAN,Spring
2019-04-24,AUS,Fall
2019-04-24,BRA,Fall
2019-04-24,ZAF,Fall
2019-04-25,USA,Spring
2019-04-25,DEU,Spring
2019-04-25,FRA,Spring
2019-04-25,KOR,Spring
2019-04-25,JPN,Spring
2019-04-25,GBR,Spring
2019-04-25,CAN,Spring
2019-04-25,AUS,Fall
2019-04-25,BRA,Fall
2019-04-25,ZAF,Fall
2019-04-26,USA,Spring
2019-04-26,DEU,Spring
2019-04-26,FRA,Spring
2019-04-26,KOR,Spring
2019-04-26,JPN,Spring
2019-04-26,GBR,Spring
2019-04-26,CAN,Spring
2019-04-26,AUS,Fall
2019-04-26,BRA,Fall
2019-04-26,ZAF,Fall
2019-04-27,USA,Spring
2019-04-27,DEU,Spring
2019-04-27,FRA,Spring
2019-04-27,KOR,Spring
2019-04-27,JPN,Spring
2019-04-27,GBR,Spring
2019-04-27,CAN,Spring
2019-04-27,AUS,Fall
2019-04-27,BRA,Fall
2019-04-27,ZAF,Fall
2019-04-28,USA,Spring
2019-04-28,DEU,Spring
2019-04-28,FRA,Spring
2019-04-28,KOR,Spring
2019-04-28,JPN,Spring
2019-04-28,GBR,Spring
2019-04-28,CAN,Spring
2019-04-28,AUS,Fall
2019-04-28,BRA,Fall
2019-04-28,ZAF,Fall
2019-04-29,USA,Spring
2019-04-29,DEU,Spring
2019-04-29,FRA,Spring
2019-04-29,KOR,Spring
2019-04-29,JPN,Spring
2019-04-29,GBR,Spring
2019-04-29,CAN,Spring
2019-04-29,AUS,Fall
2019-04-29,BRA,Fall
2019-04-29,ZAF,Fall
2019-04-30,USA,Spring
2019-04-30,DEU,Spring
2019-04-30,FRA,Spring
2019-04-30,KOR,Spring
2019-04-30,JPN,Spring
2019-04-30,GBR,Spring
2019-04-30,CAN,Spring
2019-04-30,AUS,Fall
2019-04-30,BRA,Fall
2019-04-30,ZAF,Fall
2019-05-01,USA,Spring
2019-05-01,DEU,Spring
2019-05-01,FRA,Spring
2019-05-01,KOR,Spring
2019-05-01,JPN,Spring
2019-05-01,GBR,Spring
2019-05-01,CAN,Spring
2019-05-01,AUS,Fall
2019-05-01,BRA,Fall
2019-05-01,ZAF,Fall
2019-05-02,USA,Spring
2019-05-02,DEU,Spring
2019-05-02,FRA,Spring
2019-05-02,KOR,Spring
2019-05-02,JPN,Spring
2019-05-02,GBR,Spring
2019-05-02,CAN,Spring
2019-05-02,AUS,Fall
2019-05-02,BRA,Fall
2019-05-02,ZAF,Fall
2019-05-03,USA,Spring
2019-05-03,DEU,Spring
2019-05-03,FRA,Spring
2019-05-03,KOR,Spring
2019-05-03,JPN,Spring
2019-05-03,GBR,Spring
2019-05-03,CAN,Spring
2019-05-03,AUS,Fall
2019-05-03,BRA,Fall
2019-05-03,ZAF,Fall
2019-05-04,USA,Spring
2019-05-04,DEU,Spring
2019-05-04,FRA,Spring
2019-05-04,KOR,Spring
2019-05-04,JPN,Spring
2019-05-04,GBR,Spring
2019-05-04,CAN,Spring
2019-05-04,AUS,Fall
2019-05-04,BRA,Fall
2019-05-04,ZAF,Fall
2019-05-05,USA,Spring
2019-05-05,DEU,Spring
2019-05-05,FRA,Spring
2019-05-05,KOR,Spring
2019-05-05,JPN,Spring
2019-05-05,GBR,Spring
2019-05-05,CAN,Spring
2019-05-05,AUS,Fall
2019-05-05,BRA,Fall
2019-05-05,ZAF,Fall
2019-05-06,USA,Spring
2019-05-06,DEU,Spring
2019-05-06,FRA,Spring
2019-05-06,KOR,Spring
2019-05-06,JPN,Spring
2019-05-06,GBR,Spring
2019-05-06,CAN,Spring
2019-05-06,AUS,Fall
2019-05-06,BRA,Fall
2019-05-06,ZAF,Fall
2019-05-07,USA,Spring
2019-05-07,DEU,Spring
2019-05-07,FRA,Spring
2019-05-07,KOR,Spring
2019-05-07,JPN,Spring
2019-05-07,GBR,Spring
2019-05-07,CAN,Spring
2019-05-07,AUS,Fall
2019-05-07,BRA,Fall
2019-05-07,ZAF,Fall
2019-05-08,USA,Spring
2019-05-08,DEU,Spring
2019-05-08,FRA,Spring
2019-05-08,KOR,Spring
2019-05-08,JPN,Spring
2019-05-08,GBR,Spring
2019-05-08,CAN,Spring
2019-05-08,AUS,Fall
2019-05-08,BRA,Fall
2019-05-08,ZAF,Fall
2019-05-09,USA,Spring
2019-05-09,DEU,Spring
2019-05-09,FRA,Spring
2019-05-09,KOR,Spring
2019-05-09,JPN,Spring
2019-05-09,GBR,Spring
2019-05-09,CAN,Spring
2019-05-09,AUS,Fall
2019-05-09,BRA,Fall
2019-05-09,ZAF,Fall
2019-05-10,USA,Spring
2019-05-10,DEU,Spring
2019-05-10,FRA,Spring
2019-05-10,KOR,Spring
2019-05-10,JPN,Spring
2019-05-10,GBR,Spring
2019-05-10,CAN,Spring
2019-05-10,AUS,Fall
2019-05-10,BRA,Fall
2019-05-10,ZAF,Fall
2019-05-11,USA,Spring
2019-05-11,DEU,Spring
2019-05-11,FRA,Spring
2019-05-11,KOR,Spring
2019-05-11,JPN,Spring
2019-05-11,GBR,Spring
2019-05-11,CAN,Spring
2019-05-11,AUS,Fall
2019-05-11,BRA,Fall
2019-05-11,ZAF,Fall
2019-05-12,USA,Spring
2019-05-12,DEU,Spring
2019-05-12,FRA,Spring
2019-05-12,KOR,Spring
2019-05-12,JPN,Spring
2019-05-12,GBR,Spring
2019-05-12,CAN,Spring
2019-05-12,AUS,Fall
2019-05-12,BRA,Fall
2019-05-12,ZAF,Fall
2019-05-13,USA,Spring
2019-05-13,DEU,Spring
2019-05-13,FRA,Spring
2019-05-13,KOR,Spring
2019-05-13,JPN,Spring
2019-05-13,GBR,Spring
2019-05-13,CAN,Spring
2019-05-13,AUS,Fall
2019-05-13,BRA,Fall
2019-05-13,ZAF,Fall
2019-05-14,USA,Spring
2019-05-14,DEU,Spring
2019-05-14,FRA,Spring
2019-05-14,KOR,Spring
2019-05-14,JPN,Spring
2019-05-14,GBR,Spring
2019-05-14,CAN,Spring
2019-05-14,AUS,Fall
2019-05-14,BRA,Fall
2019-05-14,ZAF,Fall
2019-05-15,USA,Spring
2019-05-15,DEU,Spring
2019-05-15,FRA,Spring
2019-05-15,KOR,Spring
2019-05-15,JPN,Spring
2019-05-15,GBR,Spring
2019-05-15,CAN,Spring
2019-05-15,AUS,Fall
2019-05-15,BRA,Fall
2019-05-15,ZAF,Fall
2019-05-16,USA,Spring
2019-05-16,DEU,Spring
2019-05-16,FRA,Spring
2019-05-16,KOR,Spring
2019-05-16,JPN,Spring
2019-05-16,GBR,Spring
2019-05-16,CAN,Spring
2019-05-16,AUS,Fall
2019-05-16,BRA,Fall
2019-05-16,ZAF,Fall
2019-05-17,USA,Spring
2019-05-17,DEU,Spring
2019-05-17,FRA,Spring
2019-05-17,KOR,Spring
2019-05-17,JPN,Spring
2019-05-17,GBR,Spring
2019-05-17,CAN,Spring
2019-05-17,AUS,Fall
2019-05-17,BRA,Fall
2019-05-17,ZAF,Fall
2019-05-18,USA,Spring
2019-05-18,DEU,Spring
2019-05-18,FRA,Spring
2019-05-18,KOR,Spring
2019-05-18,JPN,Spring
2019-05-18,GBR,Spring
2019-05-18,CAN,Spring
2019-05-18,AUS,Fall
2019-05-18,BRA,Fall
2019-05-18,ZAF,Fall
2019-05-19,USA,Spring
2019-05-19,DEU,Spring
2019-05-19,FRA,Spring
2019-05-19,KOR,Spring
2019-05-19,JPN,Spring
2019-05-19,GBR,Spring
2019-05-19,CAN,Spring
2019-05-19,AUS,Fall
2019-05-19,BRA,Fall
2019-05-19,ZAF,Fall
2019-05-20,USA,Spring
2019-05-20,DEU,Spring
2019-05-20,FRA,Spring
2019-05-20,KOR,Spring
2019-05-20,JPN,Spring
2019-05-20,GBR,Spring
2019-05-20,CAN,Spring
2019-05-20,AUS,Fall
2019-05-20,BRA,Fall
2019-05-20,ZAF,Fall
2019-05-21,USA,Spring
2019-05-21,DEU,Spring
2019-05-21,FRA,Spring
2019-05-21,KOR,Spring
2019-05-21,JPN,Spring
2019-05-21,GBR,Spring
2019-05-21,CAN,Spring
2019-05-21,AUS,Fall
2019-05-21,BRA,Fall
2019-05-21,ZAF,Fall
2019-05-22,USA,Spring
2019-05-22,DEU,Spring
2019-05-22,FRA,Spring
2019-05-22,KOR,Spring
2019-05-22,JPN,Spring
2019-05-22,GBR,Spring
2019-05-22,CAN,Spring
2019-05-22,AUS,Fall
2019-05-22,BRA,Fall
2019-05-22,ZAF,Fall
2019-05-23,USA,Spring
2019-05-23,DEU,Spring
2019-05-23,FRA,Spring
2019-05-23,KOR,Spring
2019-05-23,JPN,Spring
2019-05-23,GBR,Spring
2019-05-23,CAN,Spring
2019-05-23,AUS,Fall
2019-05-23,BRA,Fall
2019-05-23,ZAF,Fall
2019-05-24,USA,Spring
2019-05-24,DEU,Spring
2019-05-24,FRA,Spring
2019-05-24,KOR,Spring
2019-05-24,JPN,Spring
2019-05-24,GBR,Spring
2019-05-24,CAN,Spring
2019-05-24,AUS,Fall
2019-05-24,BRA,Fall
2019-05-24,ZAF,Fall
2019-05-25,USA,Spring
2019-05-25,DEU,Spring
2019-05-25,FRA,Spring
2019-05-25,KOR,Spring
2019-05-25,JPN,Spring
2019-05-25,GBR,Spring
2019-05-25,CAN,Spring
2019-05-25,AUS,Fall
2019-05-25,BRA,Fall
2019-05-25,ZAF,Fall
2019-05-26,USA,Spring
2019-05-26,DEU,Spring
2019-05-26,FRA,Spring
2019-05-26,KOR,Spring
2019-05-26,JPN,Spring
2019-05-26,GBR,Spring
2019-05-26,CAN,Spring
2019-05-26,AUS,Fall
2019-05-26,BRA,Fall
2019-05-26,ZAF,Fall
2019-05-27,USA,Spring
2019-05-27,DEU,Spring
2019-05-27,FRA,Spring
2019-05-27,KOR,Spring
2019-05-27,JPN,Spring
2019-05-27,GBR,Spring
2019-05-27,CAN,Spring
2019-05-27,AUS,Fall
2019-05-27,BRA,Fall
2019-05-27,ZAF,Fall
2019-05-28,USA,Spring
2019-05-28,DEU,Spring
2019-05-28,FRA,Spring
2019-05-28,KOR,Spring
2019-05-28,JPN,Spring
2019-05-28,GBR,Spring
2019-05-28,CAN,Spring
2019-05-28,AUS,Fall
2019-05-28,BRA,Fall
2019-05-28,ZAF,Fall
2019-05-29,USA,Spring
2019-05-29,DEU,Spring
2019-05-29,FRA,Spring
2019-05-29,KOR,Spring
2019-05-29,JPN,Spring
2019-05-29,GBR,Spring
2019-05-29,CAN,Spring
2019-05-29,AUS,Fall
2019-05-29,BRA,Fall
2019-05-29,ZAF,Fall
2019-05-30,USA,Spring
2019-05-30,DEU,Spring
2019-05-30,FRA,Spring
2019-05-30,KOR,Spring
2019-05-30,JPN,Spring
2019-05-30,GBR,Spring
2019-05-30,CAN,Spring
2019-05-30,AUS,Fall
2019-05-30,BRA,Fall
2019-05-30,ZAF,Fall
2019-05-31,USA,Spring
2019-05-31,DEU,Spring
2019-05-31,FRA,Spring
2019-05-31,KOR,Spring
2019-05-31,JPN,Spring
2019-05-31,GBR,Spring
2019-05-31,CAN,Spring
2019-05-31,AUS,Fall
2019-05-31,BRA,Fall
2019-05-31,ZAF,Fall
2019-06-01,USA,Summer
2019-06-01,DEU,Summer
2019-06-01,FRA,Summer
2019-06-01,KOR,Summer
2019-06-01,JPN,Summer
2019-06-01,GBR,Summer
2019-06-01,CAN,Summer
2019-06-01,AUS,Winter
2019-06-01,BRA,Winter
2019-06-01,ZAF,Winter
2019-06-02,USA,Summer
2019-06-02,DEU,Summer
2019-06-02,FRA,Summer
2019-06-02,KOR,Summer
2019-06-02,JPN,Summer
2019-06-02,GBR,Summer
2019-06-02,CAN,Summer
2019-06-02,AUS,Winter
2019-06-02,BRA,Winter
2019-06-02,ZAF,Winter
2019-06-03,USA,Summer
2019-06-03,DEU,Summer
2019-06-03,FRA,Summer
2019-06-03,KOR,Summer
2019-06-03,JPN,Summer
2019-06-03,GBR,Summer
2019-06-03,CAN,Summer
2019-06-03,AUS,Winter
2019-06-03,BRA,Winter
2019-06-03,ZAF,Winter
2019-06-04,USA,Summer
2019-06-04,DEU,Summer
2019-06-04,FRA,Summer
2019-06-04,KOR,Summer
2019-06-04,JPN,Summer
2019-06-04,GBR,Summer
2019-06-04,CAN,Summer
2019-06-04,AUS,Winter
2019-06-04,BRA,Winter
2019-06-04,ZAF,Winter
2019-06-05,USA,Summer
2019-06-05,DEU,Summer
2019-06-05,FRA,Summer
2019-06-05,KOR,Summer
2019-06-05,JPN,Summer
2019-06-05,GBR,Summer
2019-06-05,CAN,Summer
2019-06-05,AUS,Winter
2019-06-05,BRA,Winter
2019-06-05,ZAF,Winter
2019-06-06,USA,Summer
2019-06-06,DEU,Summer
2019-06-06,FRA,Summer
2019-06-06,KOR,Summer
2019-06-06,JPN,Summer
2019-06-06,GBR,Summer
2019-06-06,CAN,Summer
2019-06-06,AUS,Winter
2019-06-06,BRA,Winter
2019-06-06,ZAF,Winter
2019-06-07,USA,Summer
2019-06-07,DEU,Summer
2019-06-07,FRA,Summer
2019-06-07,KOR,Summer
2019-06-07,JPN,Summer
2019-06-07,GBR,Summer
2019-06-07,CAN,Summer
2019-06-07,AUS,Winter
2019-06-07,BRA,Winter
2019-06-07,ZAF,Winter
2019-06-08,USA,Summer
2019-06-08,DEU,Summer
2019-06-08,FRA,Summer
2019-06-08,KOR,Summer
2019-06-08,JPN,Summer
2019-06-08,GBR,Summer
2019-06-08,CAN,Summer
2019-06-08,AUS,Winter
2019-06-08,BRA,Winter
2019-06-08,ZAF,Winter
2019-06-09,USA,Summer
2019-06-09,DEU,Summer
2019-06-09,FRA,Summer
2019-06-09,KOR,Summer
2019-06-09,JPN,Summer
2019-06-09,GBR,Summer
2019-06-09,CAN,Summer
2019-06-09,AUS,Winter
2019-06-09,BRA,Winter
2019-06-09,ZAF,Winter
2019-06-10,USA,Summer
2019-06-10,DEU,Summer
2019-06-10,FRA,Summer
2019-06-10,KOR,Summer
2019-06-10,JPN,Summer
2019-06-10,GBR,Summer
2019-06-10,CAN,Summer
2019-06-10,AUS,Winter
2019-06-10,BRA,Winter
2019-06-10,ZAF,Winter
2019-06-11,USA,Summer
2019-06-11,DEU,Summer
2019-06-11,FRA,Summer
2019-06-11,KOR,Summer
2019-06-11,JPN,Summer
2019-06-11,GBR,Summer
2019-06-11,CAN,Summer
2019-06-11,AUS,Winter
2019-06-11,BRA,Winter
2019-06-11,ZAF,Winter
2019-06-12,USA,Summer
2019-06-12,DEU,Summer
2019-06-12,FRA,Summer
2019-06-12,KOR,Summer
2019-06-12,JPN,Summer
2019-06-12,GBR,Summer
2019-06-12,CAN,Summer
2019-06-12,AUS,Winter
2019-06-12,BRA,Winter
2019-06-12,ZAF,Winter
2019-06-13,USA,Summer
2019-06-13,DEU,Summer
2019-06-13,FRA,Summer
2019-06-13,KOR,Summer
2019-06-13,JPN,Summer
2019-06-13,GBR,Summer
2019-06-13,CAN,Summer
2019-06-13,AUS,Winter
2019-06-13,BRA,Winter
2019-06-13,ZAF,Winter
2019-06-14,USA,Summer
2019-06-14,DEU,Summer
2019-06-14,FRA,Summer
2019-06-14,KOR,Summer
2019-06-14,JPN,Summer
2019-06-14,GBR,Summer
2019-06-14,CAN,Summer
2019-06-14,AUS,Winter
2019-06-14,BRA,Winter
2019-06-14,ZAF,Winter
2019-06-15,USA,Summer
2019-06-15,DEU,Summer
2019-06-15,FRA,Summer
2019-06-15,KOR,Summer
2019-06-15,JPN,Summer
2019-06-15,GBR,Summer
2019-06-15,CAN,Summer
2019-06-15,AUS,Winter
2019-06-15,BRA,Winter
2019-06-15,ZAF,Winter
2019-06-16,USA,Summer
2019-06-16,DEU,Summer
2019-06-16,FRA,Summer
2019-06-16,KOR,Summer
2019-06-16,JPN,Summer
2019-06-16,GBR,Summer
2019-06-16,CAN,Summer
2019-06-16,AUS,Winter
2019-06-16,BRA,Winter
2019-06-16,ZAF,Winter
2019-06-17,USA,Summer
2019-06-17,DEU,Summer
2019-06-17,FRA,Summer
2019-06-17,KOR,Summer
2019-06-17,JPN,Summer
2019-06-17,GBR,Summer
2019-06-17,CAN,Summer
2019-06-17,AUS,Winter
2019-06-17,BRA,Winter
2019-06-17,ZAF,Winter
2019-06-18,USA,Summer
2019-06-18,DEU,Summer
2019-06-18,FRA,Summer
2019-06-18,KOR,Summer
2019-06-18,JPN,Summer
2019-06-18,GBR,Summer
2019-06-18,CAN,Summer
2019-06-18,AUS,Winter
2019-06-18,BRA,Winter
2019-06-18,ZAF,Winter
2019-06-19,USA,Summer
2019-06-19,DEU,Summer
2019-06-19,FRA,Summer
2019-06-19,KOR,Summer
2019-06-19,JPN,Summer
2019-06-19,GBR,Summer
2019-06-19,CAN,Summer
2019-06-19,AUS,Winter
2019-06-19,BRA,Winter
2019-06-19,ZAF,Winter
2019-06-20,USA,Summer
2019-06-20,DEU,Summer
2019-06-20,FRA,Summer
2019-06-20,KOR,Summer
2019-06-20,JPN,Summer
2019-06-20,GBR,Summer
2019-06-20,CAN,Summer
2019-06-20,AUS,Winter
2019-06-20,BRA,Winter
2019-06-20,ZAF,Winter
2019-06-21,USA,Summer
2019-06-21,DEU,Summer
2019-06-21,FRA,Summer
2019-06-21,KOR,Summer
2019-06-21,JPN,Summer
2019-06-21,GBR,Summer
2019-06-21,CAN,Summer
2019-06-21,AUS,Winter
2019-06-21,BRA,Winter
2019-06-21,ZAF,Winter
2019-06-22,USA,Summer
2019-06-22,DEU,Summer
2019-06-22,FRA,Summer
2019-06-22,KOR,Summer
2019-06-22,JPN,Summer
2019-06-22,GBR,Summer
2019-06-22,CAN,Summer
2019-06-22,AUS,Winter
2019-06-22,BRA,Winter
2019-06-22,ZAF,Winter
2019-06-23,USA,Summer
2019-06-23,DEU,Summer
2019-06-23,FRA,Summer
2019-06-23,KOR,Summer
2019-06-23,JPN,Summer
2019-06-23,GBR,Summer
2019-06-23,CAN,Summer
2019-06-23,AUS,Winter
2019-06-23,BRA,Winter
2019-06-23,ZAF,Winter
2019-06-24,USA,Summer
2019-06-24,DEU,Summer
2019-06-24,FRA,Summer
2019-06-24,KOR,Summer
2019-06-24,JPN,Summer
2019-06-24,GBR,Summer
2019-06-24,CAN,Summer
2019-06-24,AUS,Winter
2019-06-24,BRA,Winter
2019-06-24,ZAF,Winter
2019-06-25,USA,Summer
2019-06-25,DEU,Summer
2019-06-25,FRA,Summer
2019-06-25,KOR,Summer
2019-06-25,JPN,Summer
2019-06-25,GBR,Summer
2019-06-25,CAN,Summer
2019-06-25,AUS,Winter
2019-06-25,BRA,Winter
2019-06-25,ZAF,Winter
2019-06-26,USA,Summer
2019-06-26,DEU,Summer
2019-06-26,FRA,Summer
2019-06-26,KOR,Summer
2019-06-26,JPN,Summer
2019-06-26,GBR,Summer
2019-06-26,CAN,Summer
2019-06-26,AUS,Winter
2019-06-26,BRA,Winter
2019-06-26,ZAF,Winter
2019-06-27,USA,Summer
2019-06-27,DEU,Summer
2019-06-27,FRA,Summer
2019-06-27,KOR,Summer
2019-06-27,JPN,Summer
2019-06-27,GBR,Summer
2019-06-27,CAN,Summer
2019-06-27,AUS,Winter
2019-06-27,BRA,Winter
2019-06-27,ZAF,Winter
2019-06-28,USA,Summer
2019-06-28,DEU,Summer
2019-06-28,FRA,Summer
2019-06-28,KOR,Summer
2019-06-28,JPN,Summer
2019-06-28,GBR,Summer
2019-06-28,CAN,Summer
2019-06-28,AUS,Winter
2019-06-28,BRA,Winter
2019-06-28,ZAF,Winter
2019-06-29,USA,Summer
2019-06-29,DEU,Summer
2019-06-29,FRA,Summer
2019-06-29,KOR,Summer
2019-06-29,JPN,Summer
2019-06-29,GBR,Summer
2019-06-29,CAN,Summer
2019-06-29,AUS,Winter
2019-06-29,BRA,Winter
2019-06-29,ZAF,Winter
2019-06-30,USA,Summer
2019-06-30,DEU,Summer
2019-06-30,FRA,Summer
2019-06-30,KOR,Summer
2019-06-30,JPN,Summer
2019-06-30,GBR,Summer
2019-06-30,CAN,Summer
2019-06-30,AUS,Winter
2019-06-30,BRA,Winter
2019-06-30,ZAF,Winter
2019-07-01,USA,Summer
2019-07-01,DEU,Summer
2019-07-01,FRA,Summer
2019-07-01,KOR,Summer
2019-07-01,JPN,Summer
2019-07-01,GBR,Summer
2019-07-01,CAN,Summer
2019-07-01,AUS,Winter
2019-07-01,BRA,Winter
2019-07-01,ZAF,Winter
2019-07-02,USA,Summer
2019-07-02,DEU,Summer
2019-07-02,FRA,Summer
2019-07-02,KOR,Summer
2019-07-02,JPN,Summer
2019-07-02,GBR,Summer
2019-07-02,CAN,Summer
2019-07-02,AUS,Winter
2019-07-02,BRA,Winter
2019-07-02,ZAF,Winter
2019-07-03,USA,Summer
2019-07-03,DEU,Summer
2019-07-03,FRA,Summer
2019-07-03,KOR,Summer
2019-07-03,JPN,Summer
2019-07-03,GBR,Summer
2019-07-03,CAN,Summer
2019-07-03,AUS,Winter
2019-07-03,BRA,Winter
2019-07-03,ZAF,Winter
2019-07-04,USA,Summer
2019-07-04,DEU,Summer
2019-07-04,FRA,Summer
2019-07-04,KOR,Summer
2019-07-04,JPN,Summer
2019-07-04,GBR,Summer
2019-07-04,CAN,Summer
2019-07-04,AUS,Winter
2019-07-04,BRA,Winter
2019-07-04,ZAF,Winter
2019-07-05,USA,Summer
2019-07-05,DEU,Summer
2019-07-05,FRA,Summer
2019-07-05,KOR,Summer
2019-07-05,JPN,Summer
2019-07-05,GBR,Summer
2019-07-05,CAN,Summer
2019-07-05,AUS,Winter
2019-07-05,BRA,Winter
2019-07-05,ZAF,Winter
2019-07-06,USA,Summer
2019-07-06,DEU,Summer
2019-07-06,FRA,Summer
2019-07-06,KOR,Summer
2019-07-06,JPN,Summer
2019-07-06,GBR,Summer
2019-07-06,CAN,Summer
2019-07-06,AUS,Winter
2019-07-06,BRA,Winter
2019-07-06,ZAF,Winter
2019-07-07,USA,Summer
2019-07-07,DEU,Summer
2019-07-07,FRA,Summer
2019-07-07,KOR,Summer
2019-07-07,JPN,Summer
2019-07-07,GBR,Summer
2019-07-07,CAN,Summer
2019-07-07,AUS,Winter
2019-07-07,BRA,Winter
2019-07-07,ZAF,Winter
2019-07-08,USA,Summer
2019-07-08,DEU,Summer
2019-07-08,FRA,Summer
2019-07-08,KOR,Summer
2019-07-08,JPN,Summer
2019-07-08,GBR,Summer
2019-07-08,CAN,Summer
2019-07-08,AUS,Winter
2019-07-08,BRA,Winter
2019-07-08,ZAF,Winter
2019-07-09,USA,Summer
2019-07-09,DEU,Summer
2019-07-09,FRA,Summer
2019-07-09,KOR,Summer
2019-07-09,JPN,Summer
2019-07-09,GBR,Summer
2019-07-09,CAN,Summer
2019-07-09,AUS,Winter
2019-07-09,BRA,Winter
2019-07-09,ZAF,Winter
2019-07-10,USA,Summer
2019-07-10,DEU,Summer
2019-07-10,FRA,Summer
2019-07-10,KOR,Summer
2019-07-10,JPN,Summer
2019-07-10,GBR,Summer
2019-07-10,CAN,Summer
2019-07-10,AUS,Winter
2019-07-10,BRA,Winter
2019-07-10,ZAF,Winter
2019-07-11,USA,Summer
2019-07-11,DEU,Summer
2019-07-11,FRA,Summer
2019-07-11,KOR,Summer
2019-07-11,JPN,Summer
2019-07-11,GBR,Summer
2019-07-11,CAN,Summer
2019-07-11,AUS,Winter
2019-07-11,BRA,Winter
2019-07-11,ZAF,Winter
2019-07-12,USA,Summer
2019-07-12,DEU,Summer
2019-07-12,FRA,Summer
2019-07-12,KOR,Summer
2019-07-12,JPN,Summer
2019-07-12,GBR,Summer
2019-07-12,CAN,Summer
2019-07-12,AUS,Winter
2019-07-12,BRA,Winter
2019-07-12,ZAF,Winter
2019-07-13,USA,Summer
2019-07-13,DEU,Summer
2019-07-13,FRA,Summer
2019-07-13,KOR,Summer
2019-07-13,JPN,Summer
2019-07-13,GBR,Summer
2019-07-13,CAN,Summer
2019-07-13,AUS,Winter
2019-07-13,BRA,Winter
2019-07-13,ZAF,Winter
2019-07-14,USA,Summer
2019-07-14,DEU,Summer
2019-07-14,FRA,Summer
2019-07-14,KOR,Summer
2019-07-14,JPN,Summer
2019-07-14,GBR,Summer
2019-07-14,CAN,Summer
2019-07-14,AUS,Winter
2019-07-14,BRA,Winter
2019-07-14,ZAF,Winter
2019-07-15,USA,Summer
2019-07-15,DEU,Summer
2019-07-15,FRA,Summer
2019-07-15,KOR,Summer
2019-07-15,JPN,Summer
2019-07-15,GBR,Summer
2019-07-15,CAN,Summer
2019-07-15,AUS,Winter
2019-07-15,BRA,Winter
2019-07-15,ZAF,Winter
2019-07-16,USA,Summer
2019-07-16,DEU,Summer
2019-07-16,FRA,Summer
2019-07-16,KOR,Summer
2019-07-16,JPN,Summer
2019-07-16,GBR,Summer
2019-07-16,CAN,Summer
2019-07-16,AUS,Winter
2019-07-16,BRA,Winter
2019-07-16,ZAF,Winter
2019-07-17,USA,Summer
2019-07-17,DEU,Summer
2019-07-17,FRA,Summer
2019-07-17,KOR,Summer
2019-07-17,JPN,Summer
2019-07-17,GBR,Summer
2019-07-17,CAN,Summer
2019-07-17,AUS,Winter
2019-07-17,BRA,Winter
2019-07-17,ZAF,Winter
2019-07-18,USA,Summer
2019-07-18,DEU,Summer
2019-07-18,FRA,Summer
2019-07-18,KOR,Summer
2019-07-18,JPN,Summer
2019-07-18,GBR,Summer
2019-07-18,CAN,Summer
2019-07-18,AUS,Winter
2019-07-18,BRA,Winter
2019-07-18,ZAF,Winter
2019-07-19,USA,Summer
2019-07-19,DEU,Summer
2019-07-19,FRA,Summer
2019-07-19,KOR,Summer
2019-07-19,JPN,Summer
2019-07-19,GBR,Summer
2019-07-19,CAN,Summer
2019-07-19,AUS,Winter
2019-07-19,BRA,Winter
2019-07-19,ZAF,Winter
2019-07-20,USA,Summer
2019-07-20,DEU,Summer
2019-07-20,FRA,Summer
2019-07-20,KOR,Summer
2019-07-20,JPN,Summer
2019-07-20,GBR,Summer
2019-07-20,CAN,Summer
2019-07-20,AUS,Winter
2019-07-20,BRA,Winter
2019-07-20,ZAF,Winter
2019-07-21,USA,Summer
2019-07-21,DEU,Summer
2019-07-21,FRA,Summer
2019-07-21,KOR,Summer
2019-07-21,JPN,Summer
2019-07-21,GBR,Summer
2019-07-21,CAN,Summer
2019-07-21,AUS,Winter
2019-07-21,BRA,Winter
2019-07-21,ZAF,Winter
2019-07-22,USA,Summer
2019-07-22,DEU,Summer
2019-07-22,FRA,Summer
2019-07-22,KOR,Summer
2019-07-22,JPN,Summer
2019-07-22,GBR,Summer
2019-07-22,CAN,Summer
